종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
234310,2,KBSTAR V&S셀렉트밸류,15270,2,175,1.16,15288.0,6.4452,53,0,76,국내 업종/테마,KBSTAR,False,False,False
448100,1,WOORI 200,38135,2,130,0.34,38230.0,6.5013,1487,56,76,국내 시장지수,WOORI,False,False,False
333980,2,ARIRANG KS퀄리티가중TR,15235,2,65,0.43,15220.0,5.9357,20,0,76,국내 업종/테마,ARIRANG,False,False,False
270800,2,KBSTAR KQ고배당,12610,2,10,0.08,12641.0,4.7468,896,11,76,국내 업종/테마,KBSTAR,False,False,False
367740,2,HANARO Fn5G산업,13750,2,105,0.77,13759.0,17.3662,208,2,76,국내 업종/테마,HANARO,False,False,False
419650,4,ARIRANG 글로벌수소&차세대연료전지MV,4080,3,0,0.0,4106.0,-5.2265,4728,19,75,해외 주식,ARIRANG,False,False,False
192720,2,파워 고배당저변동성,31415,2,250,0.8,31518.0,-0.2114,215,6,75,국내 업종/테마,파워,False,False,False
380340,2,ACE Fn5G플러스,10700,3,0,0.0,10760.0,13.8055,762,8,75,국내 업종/테마,ACE,False,False,False
331910,2,KOSEF Fn중소형,21795,2,85,0.39,21870.0,1.4865,125,2,74,국내 업종/테마,KOSEF,False,False,False
227570,2,TIGER 우량가치,11725,2,30,0.26,11736.0,-2.3138,147,1,74,국내 업종/테마,TIGER,False,False,False
269530,4,ARIRANG S&P글로벌인프라,14750,2,50,0.34,14898.0,9.4808,159,2,74,해외 주식,ARIRANG,False,False,False
375270,7,KBSTAR 글로벌데이터센터리츠나스닥(합성),10535,2,155,1.49,10453.0,-2.1678,2897,30,74,기타,KBSTAR,False,False,False
237440,7,TIGER 경기방어채권혼합,9200,3,0,0.0,9206.0,1.8826,369,3,74,기타,TIGER,False,False,False
153270,1,KOSEF 코스피100,28240,2,65,0.23,28296.0,6.3087,266,7,73,국내 시장지수,KOSEF,False,False,False
404650,2,SOL KRX기후변화솔루션,12230,5,-15,-0.12,12274.0,4.4616,513,6,73,국내 업종/테마,SOL,False,False,False
307510,2,TIGER 의료기기,14665,5,-25,-0.17,14798.0,7.3673,2137,31,73,국내 업종/테마,TIGER,False,False,False
301400,1,ARIRANG 코스닥150,14555,2,15,0.1,14576.0,12.3473,246,3,73,국내 시장지수,ARIRANG,False,False,False
261060,2,TIGER 코스닥150IT,17300,2,5,0.03,17361.0,15.0545,29,0,73,국내 업종/테마,TIGER,False,False,False
