종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,목표주가,투자의견,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
유유제약1우,5020.0,상승  20,+0.40%,4990.0,5020.0,3151.0,15.0,2037.0,2024-05-12,000225,,,,,,,,8892384,8892384,21345,0.24%,101.57,+0.31%,코스피,551,1265,7520,5600,1920,1.3428571428571427,-2500.0,0.6675531914893617,,,,20.95,296,0.64,9675.0,1.61
드림씨아이에스 *,4220.0,상승  15,+0.36%,4215.0,4220.0,605510.0,2533.0,9511647.0,2024-05-12,223250,,,,,,,,21159832,21159832,929806,4.39%,101.57,+0.31%,코스닥,1053,899,8120,3530,4590,2.3002832861189804,-3900.0,0.5197044334975369,,,,,-398,1.19,4194.0,
JW중외제약우,29400.0,상승  100,+0.34%,29000.0,29400.0,204.0,5.0,299.0,2024-05-12,001065,,,,,,,,11986415,11986415,160874,1.34%,101.57,+0.31%,코스피,853,974,8380,6280,2100,1.3343949044585988,21020.0,3.5083532219570404,,,,6.26,1138,0.61,11670.0,2.39
삼일제약,9230.0,상승  30,+0.33%,9220.0,9230.0,300135.0,2764.0,268546.0,2024-05-12,000520,,,,,,,,66532826,66532826,777803,1.17%,101.57,+0.31%,코스피,1083,802,2410,1550,860,1.5548387096774194,6820.0,3.8298755186721993,,,,28.07,58,0.6,2718.0,
파마리서치바이오,30400.0,상승  100,+0.33%,30000.0,30400.0,1902.0,57706.0,1862.0,2024-05-12,217950,,,,,,,,14704872,14704872,375158,2.55%,101.57,+0.31%,코스피,2570,561,21150,14540,6610,1.454607977991747,9250.0,1.4373522458628842,,,,51.41,340,1.61,10882.0,0.29
유한양행우,61900.0,상승  200,+0.32%,61500.0,61900.0,1674.0,102.0,294.0,2024-05-12,000105,,,,,,,,19085664,19085664,1150201,6.03%,101.57,+0.31%,코스피,2661,550,18100,13130,4970,1.3785224676313785,43800.0,3.4198895027624308,,,,,-130,1.13,12323.0,1.08
비씨월드제약 *,6200.0,상승  20,+0.32%,6170.0,6200.0,2721.0,17.0,3961.0,2024-05-12,200780,,,,,,,,24383808,24383808,72095,0.30%,101.57,+0.31%,코스닥,562,1251,8640,2050,6590,4.214634146341464,-2440.0,0.7175925925925926,,,,,-1682,3.16,730.0,
국제약품,4975.0,상승  15,+0.30%,4970.0,4975.0,104933.0,522.0,143793.0,2024-05-12,002720,,,,,,,,13300000,13300000,136402,1.03%,101.57,+0.31%,코스피,2637,552,29000,18310,10690,1.5838339705079192,-24025.0,0.17155172413793104,,,,,-1575,0.35,56158.0,7.56
신일제약 *,7120.0,상승  20,+0.28%,7110.0,7120.0,17556.0,124.0,14655.0,2024-05-12,012790,,,,,,,,22298866,22298866,440218,1.97%,101.57,+0.31%,코스닥,1340,649,13330,4935,8395,2.701114488348531,-6210.0,0.5341335333833458,,,,,-842,2.58,2328.0,
화일약품 *,1628.0,상승  4,+0.25%,1627.0,1628.0,53708.0,87.0,79060.0,2024-05-12,061250,,,,,,,,76827750,76827750,5353004,6.97%,101.57,+0.31%,코스닥,46020,86,88600,56700,31900,1.562610229276896,-86972.0,0.018374717832957112,61250.0,3.0,중립,205.84,291,2.7,22178.0,
퓨쳐메디신,4000.0,상승  10,+0.25%,3950.0,4070.0,8254.0,33128.0,836.0,2024-05-12,341170,4647.0,144.0,233.0,3.1,5.01,324.0,218.89,80209064,80209064,16313364,20.34%,101.57,+0.31%,코스피,57430,64,84605,52543,32062,1.6102049749728793,-80605.0,0.047278529637728266,92000.0,4.0,매수,42.82,1672,2.62,27356.0,0.6
제일약품,17480.0,상승  40,+0.23%,17470.0,17480.0,21183.0,370.0,29694.0,2024-05-12,271980,,,,,,,,70604464,70604464,3188351,4.52%,101.57,+0.31%,코스피,2909,296,7656,3735,3921,2.0497991967871485,9824.0,2.283176593521421,,,,,-56,5.13,803.0,
일양약품,13940.0,상승  30,+0.22%,13920.0,13940.0,31300.0,435.0,9284.0,2024-05-12,007570,,,,,,,,115994921,115994921,3199986,2.76%,101.57,+0.31%,코스피,945,898,1280,625,655,2.048,12660.0,10.890625,,,,6.57,124,0.9,901.0,
브릿지바이오테라퓨틱스 *,2305.0,상승  5,+0.22%,2295.0,2305.0,171156.0,392.0,248890.0,2024-05-12,288330,,,,,,,,35593402,35593402,671833,1.89%,101.57,+0.31%,코스닥,436,1402,2515,1135,1380,2.2158590308370045,-210.0,0.9165009940357853,,,,,-592,0.55,2230.0,
일성아이에스,19830.0,상승  40,+0.20%,19800.0,19830.0,5382.0,106.0,5713.0,2024-05-12,003120,,,,,,,,22993200,22993200,1470758,6.40%,101.57,+0.31%,코스피,3679,222,44498,14350,30148,3.1009059233449476,-24668.0,0.44563800620252597,,,,,-499,4.41,3631.0,
안지오랩,5800.0,상승  10,+0.17%,5770.0,5800.0,1756.0,10131.0,890.0,2024-05-12,251280,,,,,,,,11540400,11540400,130193,1.13%,101.57,+0.31%,코스피,1021,907,16790,8200,8590,2.047560975609756,-10990.0,0.34544371649791544,,,,,-5163,2.57,3450.0,1.13
압타바이오 *,6010.0,상승  10,+0.17%,6010.0,6020.0,30049.0,182.0,32184.0,2024-05-12,293780,,,,,,,,845990,845990,471,0.06%,101.57,+0.31%,코스닥,226,1441,44600,26050,18550,1.7120921305182342,-38590.0,0.13475336322869955,,,,,-1093,1.24,21591.0,1.12
