종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2023.12),추정PERlEPS,PBRlBPS (2023.12),배당수익률,동일업종 PER,동일업종 등락률,배당수익률l2023.12,배당수익률l2024.02,PERlEPS(2024.02),PBRlBPS (2024.02),배당수익률l2024.03,배당수익률l2024.01,배당수익률l2024.04
듀켐바이오,7200.0,상승  50,+0.70%,7100.0,7200.0,2174.0,15488.0,783.0,2024-05-12,듀켐바이오,176750,,,,,,,,,,,,,,,,,"1,969  억원",코스닥 441위,30768766,500원  l  1주,30768766,421979,1.37%,N/A  l  N/A,"8,420  l  6,120",N/A  l  -673원,N/A  l  N/A,"0.76배  l  8,409원",,101.57배,+0.31%,6.25%,,,,,,
바이넥스 *,15000.0,상승  100,+0.67%,15000.0,15030.0,1072271.0,16325.0,765109.0,2024-05-12,바이넥스,053030,,,,,,,,,,,,,,,,,433  억원,코스닥 1408위,88970559,500원  l  1주,88970559,1340675,1.51%,N/A  l  N/A,930  l  322,N/A  l  -2원,N/A  l  N/A,1.38배  l  353원,,101.57배,+0.31%,,,,,,,
HLB사이언스,3020.0,상승  20,+0.67%,3000.0,3020.0,20945.0,62675.0,23858.0,2024-05-12,HLB사이언스,343090,,,,,,,,,,,,,,,,,"5,770  억원",코스닥 124위,17780225,500원  l  1주,17780225,338566,1.90%,N/A  l  N/A,"82,312  l  28,350","N/A  l  -2,307원",N/A  l  N/A,"6.78배  l  4,786원",,101.57배,+0.31%,,,,,,,
플럼라인생명과학,6190.0,상승  40,+0.65%,5840.0,6190.0,51.0,317.0,36.0,2024-05-12,플럼라인생명과학,222670,3421.0,266.0,209.0,7.76,6.11,,,,,983.0,104.99,,,,,,"1조  3,596  억원",코스피 191위,13174420,"2,500원  l  1주",13174420,1841827,13.98%,"4.00매수  l  151,750","136,500  l  69,571","6.40배  l  16,131원","16.00배  l  6,366원","1.61배  l  64,101원",,101.57배,+0.31%,1.02%,,,,,,
경동제약 *,6400.0,상승  40,+0.63%,6390.0,6400.0,22146.0,141.0,252683.0,2024-05-12,경동제약,011040,,,,,,,,,,,,,,,,,794  억원,코스닥 1023위,15327021,500원  l  1주,15327021,134514,0.88%,N/A  l  N/A,"7,480  l  4,965",25.90배  l  200원,N/A  l  N/A,"0.87배  l  5,933원",,101.57배,+0.31%,2.51%,,,,,,
프로젠,6430.0,상승  40,+0.63%,6430.0,6440.0,1974.0,12625.0,1686.0,2024-05-12,프로젠,296160,,,,,,,,,,,,,,,,,809  억원,코스피 989위,17032351,"1,000원  l  1주",17032351,156840,0.92%,N/A  l  N/A,"7,440  l  4,160",N/A  l  -364원,N/A  l  N/A,"0.79배  l  5,976원",,101.57배,+0.31%,,,,,,,
비엘팜텍 *,487.0,상승  3,+0.62%,487.0,488.0,100389.0,49.0,47917.0,2024-05-12,비엘팜텍,065170,,,,,,,,,,,,,,,,,857  억원,코스닥 972위,15170500,500원  l  1주,15170500,237135,1.56%,N/A  l  N/A,"8,540  l  3,860",18.34배  l  308원,N/A  l  N/A,"1.38배  l  4,106원",,101.57배,+0.31%,1.06%,,,,,,
보로노이 *,32450.0,상승  200,+0.62%,32400.0,32450.0,47059.0,1524.0,32838.0,2024-05-12,보로노이,310210,,,,,,,,,,,,,,,,,"7,454  억원",코스피 296위,47028210,500원  l  1주,47028210,3854534,8.20%,N/A  l  N/A,"17,990  l  12,920","N/A  l  -1,093원",N/A  l  N/A,"0.73배  l  21,591원",,101.57배,+0.31%,1.89%,,,,,,
종근당,103200.0,상승  600,+0.58%,102800.0,103200.0,14970.0,1542.0,22690.0,2024-05-12,종근당,185750,,,,,,,,,,,,,,,,,36  억원,코스피 2147위,325560,"1,000원  l  1주",325560,528,0.16%,N/A  l  N/A,"21,400  l  9,150",N/A  l  -364원,N/A  l  N/A,"1.87배  l  5,976원",,101.57배,+0.31%,,,,,,,
알리코제약 *,5180.0,상승  30,+0.58%,5150.0,5180.0,4868.0,25.0,13265.0,2024-05-12,알리코제약,260660,,,,,,,,,,,,,,,,,989  억원,코스닥 877위,14669958,500원  l  1주,14669958,36422,0.25%,N/A  l  N/A,"9,680  l  6,110",N/A  l  -166원,N/A  l  N/A,"3.93배  l  1,714원",,101.57배,+0.31%,,,,,,,
유유제약,4750.0,상승  25,+0.53%,4730.0,4750.0,32989.0,155.0,24170.0,2024-05-12,유유제약,000220,3701.0,33.0,48.0,0.9,1.31,,,,,205.0,544.88,,,,,,"1조  3,393  억원",코스피 195위,11686538,"5,000원  l  1주",11686538,2175597,18.62%,"4.00매수  l  144,667","131,100  l  93,000","N/A  l  -2,279원","75.00배  l  1,537원","1.01배  l  113,924원",,101.57배,+0.31%,1.31%,,,,,,
